tranid,userid,name,status,date,subtotal,comment
1,3,3-days coverage - luxury cars,2,8/24/2018 7:05,74.5,
2,8,1-trip biking+ (electric bikes),3,2/6/2015 7:25,279.79,
3,88,3-days coverage - regular cars,2,7/17/2016 6:09,674.64,
4,111,All year biking+ (electric bikes) - Reduced fare,3,1/8/2015 7:40,383.76,
5,39,1-day car rental,2,7/10/2014 7:13,439.37,
6,128,All year biking+ (electric bikes) - Reduced fare,1,6/18/2013 7:31,825.63,
7,38,All year biking - Reduced fare,3,5/2/2014 7:35,153.09,
8,128,1-day coverage - regular cars,2,6/23/2016 6:46,288.51,
9,101,All year car rental - Reduced fare,3,10/10/2017 6:57,64.39,
10,137,1-year coverage - regular cars,2,12/16/2017 7:20,820.21,
11,83,1-month biking,2,11/9/2015 6:21,771.58,
12,17,1-month coverage - regular cars,2,11/25/2015 7:05,970.41,
13,124,3-days combo (inc. all bikes and cars),3,9/1/2014 6:30,786.05,
14,129,1-month biking+ (electric bikes),1,5/31/2018 7:32,272.91,
15,79,2-trips biking+ (electric bikes),2,11/28/2017 6:29,726.72,
16,92,1-day biking,3,11/18/2018 6:05,939.02,
17,67,7-days biking,1,5/19/2013 7:40,414.55,
18,51,3-days combo (inc. all bikes and cars),3,11/1/2013 6:28,437.68,
19,25,7-days biking,2,6/15/2013 6:16,610.79,
20,16,1-month biking - Reduced fare,1,12/28/2013 8:15,871.83,
21,49,All year car rental,1,9/16/2017 6:23,233.24,
22,7,2-trips biking+ (electric bikes),3,1/23/2017 8:16,310.53,
23,124,3-days coverage - regular cars,3,10/12/2015 6:11,128.48,
24,59,2-trips biking+ (electric bikes),2,1/29/2017 8:53,294.96,
25,96,1-month biking+ (electric bikes) - Reduced fare,1,4/21/2016 8:43,738.52,
26,92,All year biking+ (electric bikes) - Reduced fare,3,5/25/2013 6:28,852.31,
27,128,1-month car rental,1,8/13/2016 8:04,719.97,
28,119,All year biking,1,9/25/2018 6:24,473.29,
29,45,1-day coverage - regular cars,2,7/25/2014 6:19,1023.39,
30,28,10-trips biking,2,9/29/2015 7:25,541.38,
31,149,7-days coverage - regular cars,3,8/28/2016 8:37,468.6,
32,12,1-month car rental,3,2/17/2017 6:38,750.25,
33,117,1-month combo (inc. all bikes and cars),2,12/24/2017 6:30,134.61,
34,121,All year biking+,2,5/20/2013 8:24,670.49,
35,19,3-days combo (inc. all bikes and cars),2,2/15/2017 6:48,176.33,
36,20,All year biking+,1,11/1/2014 8:21,89.68,
37,7,1-trip biking,1,1/3/2015 6:14,66.46,
38,2,7-days combo (inc. all bikes and cars),1,10/10/2013 8:00,267.86,
39,139,10-trips biking,2,3/23/2018 6:09,901.3,
40,106,2-trips biking,2,3/19/2015 7:02,241.33,
41,87,All year combo (inc. all bikes and cars) - Reduced fare,2,10/20/2014 6:43,793.49,
42,88,2-trips biking+ (electric bikes),1,4/28/2013 6:54,644.48,
43,129,1-month combo (inc. all bikes and cars),3,9/26/2017 8:28,569.38,
44,8,1-year coverage - luxury cars,2,9/22/2013 7:19,776.77,
45,142,1-year coverage - luxury cars,1,5/30/2017 7:38,889.83,
46,80,All year combo (inc. all bikes and cars) - Reduced fare,2,11/2/2015 6:27,348.2,
47,145,7-days biking,2,9/27/2016 8:56,494.83,
48,118,1-day car rental,2,9/12/2016 8:02,223.85,
49,47,1-month combo (inc. all bikes and cars),1,9/5/2016 6:58,834.66,
50,6,All year combo (inc. all bikes and cars),2,4/30/2015 6:43,739.51,
51,111,1-month biking - Reduced fare,1,9/25/2016 8:24,775.53,
52,140,All year biking - Reduced fare,1,2/7/2014 8:41,665.66,
53,148,7-days coverage - luxury cars,3,1/12/2018 6:52,61.41,
54,106,1-day coverage - regular cars,2,12/23/2016 6:33,494.85,
55,39,3-days combo (inc. all bikes and cars),1,2/10/2018 6:13,563.96,
56,74,2-trips biking+ (electric bikes),2,9/5/2013 8:34,463.64,
57,132,7-days biking,3,12/9/2018 8:27,172.42,
58,108,All year biking+ (electric bikes) - Reduced fare,2,12/29/2015 6:11,90.33,
59,72,1-trip biking+ (electric bikes),3,4/28/2013 6:22,157.84,
60,86,3-days coverage - luxury cars,2,2/3/2018 6:55,215.1,
61,44,7-days coverage - regular cars,2,12/29/2014 8:57,511.31,
62,57,All year combo (inc. all bikes and cars) - Reduced fare,1,1/27/2017 7:12,722.14,
63,90,All year combo (inc. all bikes and cars) - Reduced fare,2,6/14/2017 7:11,702.77,
64,26,7-days biking,3,8/7/2013 7:05,661.41,
65,39,7-days combo (inc. all bikes and cars),2,3/19/2018 7:00,462.29,
66,39,7-days coverage - regular cars,2,4/7/2017 6:00,179.26,
67,127,3-days biking+ (inc. electric bikes),2,12/19/2018 6:10,54.08,
68,114,1-month coverage - regular cars,1,4/28/2016 7:20,1026.08,
69,26,1-day biking,2,12/16/2015 6:45,428.14,
70,82,1-day biking+ (inc. electric bikes),2,12/5/2013 7:10,900.26,
71,27,All year biking - Reduced fare,3,12/24/2015 6:55,1006.38,
72,25,All year biking+ (electric bikes) - Reduced fare,3,6/2/2014 6:51,180.87,
73,25,1-month car rental - Reduced fare,3,8/4/2015 7:09,428.61,
74,48,1-day coverage - regular cars,2,6/17/2017 8:59,817.74,
75,95,2-trips biking,1,10/9/2017 6:48,666.55,
76,12,7-days coverage - luxury cars,3,9/1/2016 7:57,113.23,
77,1,All year combo (inc. all bikes and cars),3,7/13/2016 7:43,655.58,
78,33,7-days biking+,3,11/11/2013 7:34,622.43,
79,27,1-day coverage - regular cars,1,5/27/2018 7:59,219.62,
80,146,3-days coverage - luxury cars,1,11/22/2018 8:51,399.67,
81,27,7-days coverage - luxury cars,2,12/9/2015 6:29,124.04,
82,114,All year car rental,2,4/8/2015 6:01,763.5,
83,23,1-month biking - Reduced fare,2,7/24/2016 8:08,716.8,
84,90,3-days coverage - luxury cars,2,12/13/2017 8:17,777.71,
85,133,3-days biking+ (inc. electric bikes),2,4/8/2018 7:55,765.04,
86,68,3-days car rental,1,12/11/2014 7:26,842.48,
87,46,1-day coverage - regular cars,1,10/7/2013 8:51,801.14,
88,35,All year biking+ (electric bikes) - Reduced fare,3,4/26/2013 8:42,452.68,
89,96,7-days car rental,3,6/10/2014 6:06,921.81,
90,40,1-month biking - Reduced fare,2,10/18/2017 7:04,55.24,
91,127,7-days combo (inc. all bikes and cars),3,2/10/2014 8:18,478.62,
92,73,1-month biking+ (electric bikes),2,5/18/2015 8:11,475.89,
93,150,1-day car rental,3,5/29/2017 7:36,230.16,
94,58,3-days coverage - luxury cars,2,9/11/2013 8:47,989.74,
95,77,1-month combo (inc. all bikes and cars) - Reduced fare,1,8/3/2014 6:07,141.1,
96,7,3-days combo (inc. all bikes and cars),2,5/7/2015 7:59,387.33,
97,10,1-year coverage - luxury cars,3,3/29/2015 6:22,291.45,
98,119,2-trips biking+ (electric bikes),1,10/24/2013 7:25,396.99,
99,14,1-month combo (inc. all bikes and cars) - Reduced fare,3,2/27/2018 6:20,52.51,
100,115,1-month car rental - Reduced fare,1,9/23/2016 6:37,328.54,
101,148,7-days coverage - regular cars,3,4/2/2015 7:07,379.05,
102,45,1-month biking+ (electric bikes),3,5/12/2014 6:01,518.32,
103,90,All year car rental - Reduced fare,1,8/20/2013 8:39,420.73,
104,79,1-month coverage - luxury cars,1,6/8/2014 8:37,1000.28,
105,129,1-year coverage - regular cars,2,5/4/2013 7:41,658.89,
106,82,3-days combo (inc. all bikes and cars),2,10/16/2016 7:52,174.12,
107,42,All year combo (inc. all bikes and cars),1,6/30/2017 8:48,994.97,
108,111,1-month coverage - luxury cars,2,6/22/2018 8:29,164.99,
109,129,1-year coverage - luxury cars,3,3/26/2017 8:24,49.83,
110,2,1-day car rental,3,10/18/2013 8:47,97.84,
111,78,7-days coverage - regular cars,2,11/29/2016 8:23,852.18,
112,120,3-days car rental,3,4/16/2017 6:44,875.15,
113,93,1-month biking - Reduced fare,3,8/6/2014 8:37,901.52,
114,71,1-trip biking,1,4/23/2013 6:15,933.01,
115,121,3-days coverage - luxury cars,3,10/24/2013 8:36,665.85,
116,125,1-month biking,3,8/6/2016 7:29,246.77,
117,37,3-days combo (inc. all bikes and cars),2,9/27/2017 8:40,125.47,
118,35,1-month car rental - Reduced fare,1,10/21/2018 7:04,902.59,
119,57,1-month biking,1,4/12/2018 7:58,286.71,
120,101,1-month biking - Reduced fare,3,11/1/2015 8:33,390.73,
121,51,1-trip biking+ (electric bikes),3,12/29/2018 6:05,279.16,
122,58,1-year coverage - regular cars,3,3/10/2017 6:53,406.42,
123,76,7-days coverage - luxury cars,1,7/28/2014 6:31,907.11,
124,119,1-year coverage - regular cars,1,3/26/2013 6:45,65.31,
125,144,All year biking,1,6/25/2015 8:49,373.62,
126,86,1-month car rental,1,3/9/2015 8:44,706.15,
127,90,3-days biking+ (inc. electric bikes),2,5/2/2014 8:18,429.78,
128,104,All year car rental - Reduced fare,3,4/21/2018 6:44,719.3,
129,22,2-trips biking+ (electric bikes),3,1/16/2018 7:49,851.7,
130,23,All year car rental - Reduced fare,3,1/4/2017 7:16,416.67,
131,99,7-days combo (inc. all bikes and cars),1,11/7/2013 8:18,916.15,
132,87,1-trip biking+ (electric bikes),1,2/16/2016 6:52,858.19,
133,31,3-days coverage - regular cars,3,8/16/2014 8:01,267.17,
134,53,1-month biking+ (electric bikes) - Reduced fare,3,2/6/2017 7:25,738.56,
135,118,1-day biking,1,10/13/2014 7:51,151,
136,68,3-days coverage - regular cars,3,11/1/2014 8:43,84.44,
137,92,All year car rental,3,4/23/2015 7:52,684.09,
138,108,1-month car rental,1,5/26/2017 8:48,238.55,
139,100,1-month coverage - luxury cars,2,12/31/2017 7:18,427.1,
140,50,1-year coverage - luxury cars,2,12/21/2015 7:24,738.47,
141,139,All year biking+,3,8/9/2014 6:53,711.41,
142,80,1-month biking+ (electric bikes),2,4/15/2014 7:54,512.99,
143,16,1-year coverage - luxury cars,3,4/26/2015 6:35,627.57,
144,33,7-days car rental,2,2/24/2018 7:35,798.05,
145,89,1-trip biking,1,3/19/2013 7:34,389.53,
146,117,1-month biking+ (electric bikes) - Reduced fare,3,7/22/2015 7:50,254.03,
147,134,10-trips biking+ (electric bikes),3,5/13/2017 8:38,563.33,
148,45,3-days biking,2,5/22/2016 8:59,581.73,
149,11,7-days combo (inc. all bikes and cars),2,8/7/2015 6:03,853.47,
150,32,1-month biking+ (electric bikes) - Reduced fare,2,7/14/2017 8:33,79.04,
